Epoch,Precision,Recall,F1-score,mAP@0.5,mAP@0.5:0.95
1,0.00029,0.05556,0.000576988258372738,3e-05,0.0
2,0.00072,0.13889,0.0014325734952672809,0.00031,7e-05
3,0.0013,0.25,0.0025865498373836113,0.00233,0.00066
4,0.00232,0.44444,0.004615904633004194,0.02283,0.00623
5,0.00275,0.52778,0.005471490670245024,0.05251,0.01261
6,0.00362,0.69444,0.007202454700133875,0.1193,0.06288
7,0.00333,0.63889,0.006625466870769099,0.19486,0.09489
8,0.00377,0.72222,0.007500845362872141,0.19553,0.09145
9,0.00391,0.75,0.00777944306642115,0.21273,0.10174
10,0.00391,0.75,0.00777944306642115,0.21633,0.09656
11,0.00391,0.75,0.00777944306642115,0.2132,0.11795
12,0.00449,0.86111,0.008933419259087116,0.18232,0.10299
13,0.0042,0.80556,0.008356431432073312,0.21388,0.12092
14,0.00406,0.77778,0.00807783372457493,0.22943,0.13422
15,0.00449,0.86111,0.008933419259087116,0.29805,0.15303
16,0.38758,0.27778,0.32362020795328533,0.35875,0.20686
17,0.66447,0.22021,0.33079291279566714,0.39381,0.20203
18,0.56047,0.38889,0.4591749726218192,0.48926,0.27351
19,0.54415,0.36111,0.434125012326569,0.52607,0.28965
20,0.66081,0.41667,0.5110808555974973,0.5297,0.29055
21,0.54946,0.41667,0.473939316303817,0.47992,0.20191
22,0.59447,0.48886,0.5365172228543729,0.53776,0.24448
23,0.62417,0.52778,0.5719422539872195,0.59827,0.2864
24,0.64331,0.61111,0.6267967203424952,0.65492,0.2846
25,0.62773,0.66667,0.6466142704989627,0.67604,0.30105
26,0.4766,0.68306,0.561451448170572,0.60204,0.28932
27,0.74814,0.5,0.5994039082202004,0.60104,0.30112
28,0.77842,0.47222,0.5878358112019781,0.63754,0.3275
29,0.74126,0.47222,0.5769156381900349,0.62929,0.30092
30,0.83489,0.47222,0.6032418890281469,0.6183,0.28388
31,0.64861,0.51296,0.572864283229902,0.59171,0.29723
32,0.55861,0.63889,0.5960590228304048,0.62244,0.3222
33,0.5894,0.77778,0.6706118121197515,0.71158,0.34856
34,0.74957,0.83146,0.7883942344649106,0.80042,0.34375
35,0.82464,0.78391,0.8037593340352532,0.84668,0.34834
36,0.70372,0.7919,0.7452105003596469,0.76386,0.37772
37,0.65511,0.66667,0.6608394443792504,0.69681,0.37681
38,0.64936,0.66879,0.658931792444473,0.68673,0.36809
39,0.68787,0.58333,0.6313014536555897,0.63727,0.29713
40,0.73361,0.5,0.5946855116715533,0.63408,0.27937
41,0.64951,0.51502,0.5744989606579568,0.6001,0.28372
42,0.611,0.5,0.5499549905494601,0.56308,0.26254
43,0.6444,0.60422,0.6236635083238816,0.60818,0.22136
44,0.61091,0.61111,0.6110099786336559,0.59694,0.25536
45,0.61579,0.52778,0.5683983374135528,0.60521,0.28239
46,0.69644,0.5,0.5820935393158576,0.58397,0.25704
47,0.5423,0.52778,0.5349414834877628,0.56193,0.23732
48,0.70848,0.5,0.5862571115264041,0.58029,0.24595
49,0.66602,0.55556,0.6057958842990564,0.63685,0.29755
50,0.71242,0.61111,0.6578875928925859,0.67776,0.31741
51,0.7343,0.61423,0.6689196171466737,0.69637,0.34191
52,0.74683,0.75,0.7484116382728055,0.75366,0.33867
53,0.73251,0.77778,0.7544665250086637,0.76597,0.35968
54,0.68917,0.73923,0.7133227884813582,0.74651,0.37095
55,0.72033,0.57259,0.6380189826283221,0.66356,0.33101
56,0.84116,0.52778,0.6486002623299761,0.62735,0.31181
57,0.83334,0.52778,0.6462621693439067,0.6135,0.31213
58,0.80183,0.55556,0.6563547271133962,0.64305,0.31934
59,0.80261,0.6779,0.7350025536132647,0.72099,0.33471
60,0.81007,0.71105,0.7573370538988571,0.74667,0.3494
61,0.83805,0.71883,0.773875285995868,0.75694,0.35216
62,0.86039,0.68498,0.762729881369964,0.75123,0.36445
63,0.93285,0.66667,0.7776121656646233,0.78825,0.39104
64,0.92534,0.68871,0.7896792632837938,0.79069,0.38813
65,0.8924,0.69126,0.7790566410779041,0.77604,0.3889
66,1.0,0.57802,0.7325889359286388,0.75106,0.38896
67,1.0,0.57753,0.7321952626435297,0.73475,0.39421
68,0.8866,0.61111,0.7235180674261503,0.7035,0.37124
69,0.93536,0.55556,0.697084482218466,0.68838,0.3603
70,0.91802,0.55556,0.6922124183810013,0.68771,0.37086
71,0.8411,0.58831,0.6923521418462714,0.70194,0.36999
72,1.0,0.54663,0.7068658909573338,0.70722,0.37777
73,0.96409,0.55556,0.7049121006487541,0.70558,0.36679
74,0.93754,0.58333,0.7191873133194336,0.70732,0.35528
75,0.95585,0.6017,0.7385123319411104,0.71496,0.35972
76,0.85905,0.61111,0.714172664103413,0.71502,0.35323
77,0.91519,0.59981,0.7246734129064462,0.73615,0.36896
78,0.79549,0.64849,0.7145075506966332,0.75529,0.37864
79,0.8015,0.69444,0.7441390112963153,0.77054,0.38112
80,0.76776,0.75,0.7587760860822786,0.77482,0.38828
81,0.8387,0.72219,0.7760966488599668,0.7873,0.39057
82,0.83477,0.75,0.7901178039077104,0.79511,0.39764
83,0.84671,0.76737,0.8050900186788139,0.80935,0.4043
84,0.9007,0.75607,0.8220721583438128,0.81752,0.41167
85,0.90286,0.77462,0.8338381489267345,0.81833,0.40717
86,0.90312,0.77689,0.8352627575117841,0.82323,0.40859
87,0.90241,0.77778,0.8354727091848381,0.82889,0.40718
88,0.9032,0.77753,0.8356667541147791,0.83552,0.40478
89,0.93283,0.77175,0.8446790978148336,0.84208,0.41021
90,0.89219,0.77778,0.8310658683026291,0.84112,0.41449
91,0.90321,0.77766,0.8357461129311242,0.84617,0.42338
92,0.92935,0.75,0.830097949622783,0.84526,0.42114
93,0.9515,0.75,0.8388186844618355,0.84358,0.42185
94,0.96257,0.71453,0.8202076656120229,0.84268,0.42124
95,0.96296,0.72225,0.8254138723042596,0.84089,0.4156
96,0.96408,0.74566,0.8409183719108263,0.83963,0.4169
97,0.96337,0.73069,0.831050637102283,0.83883,0.41601
98,0.96304,0.72222,0.8254236671764377,0.82207,0.4194
99,0.96361,0.73589,0.8344936260400493,0.82223,0.41937
100,0.95213,0.75,0.8390634038583223,0.82187,0.42059
